Participant,experience,evidence_sequence
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes']"
9003.0,Control,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'yes', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no']"
9003.0,Control,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'no', 'yes', 'yes']"
9003.0,Control,"['yes', 'yes', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes', 'yes']"
9003.0,Control,"['yes', 'no', 'no', 'yes', 'no', 'no', 'yes', 'yes', 'no', 'no']"
9003.0,Control,"['no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'yes', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']"
9003.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no']"
9003.0,Control,"['no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
9003.0,Control,"['yes', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'yes', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes']"
9003.0,Control,"['no', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes']"
9003.0,Control,"['yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'no']"
9003.0,Control,"['yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes']"
9003.0,Control,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'yes', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no']"
9003.0,Control,"['no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9003.0,Control,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
9003.0,Control,"['yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes']"
9003.0,Control,"['yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'yes', 'yes', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['yes', 'yes', 'no', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes']"
9003.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9003.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9003.0,Control,"['yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9003.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9003.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'yes', 'yes']"
9003.0,Control,"['no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']"
9003.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'yes']"
9003.0,Control,"['yes', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']"
9003.0,Control,"['yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']"
9003.0,Control,"['no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9003.0,Control,"['no', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'no']"
9003.0,Control,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
9003.0,Control,"['yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9003.0,Control,"['no', 'yes', 'yes', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes']"
9003.0,Control,"['yes', 'yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'no']"
9003.0,Control,"['no', 'no', 'no', 'yes', 'no', 'yes', 'no', 'yes', 'yes', 'yes']"
9003.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']"
9003.0,Control,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
9003.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9003.0,Control,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes']"
9003.0,Control,"['yes', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'no']"
9003.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9003.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9003.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no']"
9003.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes']"
9004.0,Control,"['yes', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']"
9004.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']"
9004.0,Control,"['yes', 'no', 'yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
9004.0,Control,"['yes', 'yes', 'yes', 'no', 'no', 'yes', 'no', 'no', 'yes', 'yes']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
9004.0,Control,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no']"
9004.0,Control,"['yes', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9004.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'yes', 'no', 'yes', 'no', 'no', 'yes', 'no', 'no']"
9004.0,Control,"['yes', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes', 'no', 'yes']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', '', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no']"
9004.0,Control,"['no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'yes']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no']"
9004.0,Control,"['yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9004.0,Control,"['no', 'yes', 'yes', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']"
9004.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9004.0,Control,"['yes', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes']"
9004.0,Control,"['yes', 'yes', 'no', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes']"
9004.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9004.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9004.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9004.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9004.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9004.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes']"
9004.0,Control,"['no', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes', 'no', 'no']"
9004.0,Control,"['no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
9004.0,Control,"['yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
9004.0,Control,"['no', 'yes', 'yes', 'yes', 'no', 'yes', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'no']"
9004.0,Control,"['yes', 'yes', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']"
9004.0,Control,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9004.0,Control,"['yes', 'yes', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'no']"
9004.0,Control,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']"
9004.0,Control,"['yes', 'yes', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'no']"
9004.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9004.0,Control,"['yes', 'no', 'yes', 'yes', 'no', 'yes', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no']"
9004.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
9005.0,Control,"['no', 'yes', 'no', 'no', 'no', 'yes', 'no', 'no', 'yes', 'no']"
9005.0,Control,"['no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['yes', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'no', 'yes', 'yes']"
9005.0,Control,"['yes', 'yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes']"
9005.0,Control,"['yes', 'yes', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
9005.0,Control,"['yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'yes']"
9005.0,Control,"['no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']"
9005.0,Control,"['yes', 'yes', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9005.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']"
9005.0,Control,"['no', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']"
9005.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9005.0,Control,"['yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'yes', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
9005.0,Control,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
9005.0,Control,"['yes', 'no', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'yes']"
9005.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'yes', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no']"
9005.0,Control,"['no', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no']"
9005.0,Control,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no']"
9005.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9005.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9005.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9005.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9005.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no']"
9005.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'no', 'yes', 'yes']"
9005.0,Control,"['no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes']"
9005.0,Control,"['yes', 'yes', 'yes', 'yes', 'no', 'yes', 'no', 'yes', 'no', 'no']"
9005.0,Control,"['no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['yes', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'yes', 'yes']"
9005.0,Control,"['yes', 'yes', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['yes', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes']"
9005.0,Control,"['yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9005.0,Control,"['yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9005.0,Control,"['yes', 'yes', 'no', 'no', 'yes', 'no', 'no', 'yes', 'yes', 'yes']"
9005.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
9005.0,Control,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no']"
9005.0,Control,"['no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9008.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no']"
9008.0,Control,"['no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
9008.0,Control,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
9008.0,Control,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9008.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
9008.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes']"
9008.0,Control,"['yes', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no']"
9008.0,Control,"['no', 'yes', 'yes', 'yes', 'no', 'yes', 'no', 'yes', 'no', 'no']"
9008.0,Control,"['yes', 'yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
9008.0,Control,"['yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no']"
